paper_id,paper_section,v1_raw,v1_code,v1_entity_type,v1_domain,v2_raw,v2_code,v2_entity_type,v2_domain,rel_raw,rel_exists,rel_direction,rel_valence,rel_conditionality_raw,rel_conditionality_code,rel_uncertainty_raw,rel_uncertainty_code,rel_exists_note,effect_raw,effect_metric,effect_magnitude,effect_error_metric,effect_error_magnitude,source_locus,source_citation_raw,method_raw,method_type,causal_inference_level,geographic_scope_raw,geographic_scope_code,temporal_scope_raw,population_raw,population_code
10.1088/1748-9326/aa7dab,Introduction,"""social and economic pressure to prospect for gold""","Socioeconomic pressure to mine",Exposure,Social,"""increased organization among miners""","Miner political organization",Outcome,Social,"""social and economic pressure to prospect for gold has led to increased organization among miners""",Yes,V1→V2,Positive,"""Not reported""",Unconditional,"""has led to""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,Not reported,not reported,Cited from prior work,"""(Fraser 2009)""","""Not reported""",Review,Association,"""Madre de Dios""",Region,"""Not reported""","""Madre de Dios miners""",Human
10.1088/1748-9326/aa7dab,Introduction,"""increased organization among miners, supported by local and regional political leaders""","Miner political organization",Exposure,Governance,"""miner activities""","Continuation of mining activity",Outcome,Economic,"""increased organization among miners, supported by local and regional political leaders, which has protected miner activities""",Yes,V1→V2,Positive,"""supported by local and regional political leaders""",Population-specific,"""has protected""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,Not reported,not reported,Cited from prior work,"""(Fraser 2009)""","""Not reported""",Review,Association,"""Madre de Dios""",Region,"""Not reported""","""Madre de Dios miners""",Human
10.1088/1748-9326/aa7dab,Introduction,"""gold mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""forest loss""","Forest loss",Outcome,Environmental,"""a 400% increase in forest loss generated by gold mining between 1999 and 2012, reaching a total of nearly 50 000 ha of forest removed by 2012""",Yes,V1→V2,Positive,"""between 1999 and 2012""",Temporal,"""Not reported""",Asserted,"""Not reported""","""400% increase in forest loss generated by gold mining between 1999 and 2012, reaching a total of nearly 50 000 ha""",% change,"""400""",not reported,not reported,Cited from prior work,"""Asner et al (2013)""","""combination of airborne and satellite monitoring techniques""",Observation,Association,"""Madre de Dios""",Region,"""1999 to 2012""","""Madre de Dios forests""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Results,"""informal gold mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""forest loss""","Forest loss",Outcome,Environmental,"""mining-related losses of forest averaged 4437 ha yr−1""",Yes,V1→V2,Positive,"""since 2000""",Temporal,"""Not reported""",Asserted,"""Not reported""","""4437 (1440) ha yr−1""",mean (SD) annual forest loss,4437,standard deviation,1440,Original to this study,"""Not reported""","""high-resolution remote sensing approach, with timeseries Landsat satellite data""",Observation,Association,"""Madre de Dios region""",Region,"""2000–2016""","""Madre de Dios region""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Results,"""gold mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""total estimated area of gold mining""","Cumulative mined area",Outcome,Environmental,"""The total estimated area of gold mining throughout the region in 2016 was 68 228 ha, representing a 40% increase since 2012""",Yes,V1→V2,Positive,"""since 2012""",Temporal,"""Not reported""",Asserted,"""Not reported""","""40% increase since 2012; 68 228 ha total""",% change,40,not reported,not reported,Original to this study,"""Not reported""","""high-resolution remote sensing approach, with timeseries Landsat satellite data""",Observation,Association,"""Madre de Dios region""",Region,"""2012–2016""","""Madre de Dios region""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Results,"""gold mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""mining-related forest loss""","Forest loss in Tambopata National Reserve",Outcome,Environmental,"""the protected area underwent a 37% increase in mining-related forest loss since 2012, at a 4 year average rate of 51+12 ha yr−1""",Yes,V1→V2,Positive,"""within the Tambopata National Reserve, since 2012""",Spatial,"""Not reported""",Asserted,"""Not reported""","""37% increase in mining-related forest loss since 2012, at a 4 year average rate of 51+12 ha yr−1""",% change and mean rate,37,standard deviation,12,Original to this study,"""Not reported""","""high-resolution remote sensing approach, with timeseries Landsat satellite data""",Observation,Association,"""Tambopata National Reserve""",Region,"""2012–2016""","""Tambopata National Reserve""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Results,"""gold mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""mining-related losses""","Forest loss in Tambopata National Reserve",Outcome,Environmental,"""direct mining-related losses in the Reserve have averaged 37 ha yr−1 (s.d.=25 ha yr−1) since 2000""",Yes,V1→V2,Positive,"""within the Reserve, since 2000""",Spatial,"""Not reported""",Asserted,"""Not reported""","""37 ha yr−1 (s.d.=25 ha yr−1)""",mean (SD) annual forest loss,37,standard deviation,25,Original to this study,"""Not reported""","""high-resolution remote sensing approach, with timeseries Landsat satellite data""",Observation,Association,"""Tambopata National Reserve""",Region,"""2000–2016""","""Tambopata National Reserve""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Results,"""gold mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""mining-related losses""","Forest loss in Tambopata buffer zone",Outcome,Environmental,"""mining-related losses in the buffer zone generally increased since 1999, with early years (pre-2010) averaging about 1000 ha yr−1, but more recent years (since 2012) doubling that rate at 2044 ha yr−1""",Yes,V1→V2,Positive,"""within the buffer zone, recent years since 2012""",Temporal,"""Not reported""",Asserted,"""Not reported""","""early years (pre-2010) averaging about 1000 ha yr−1, but more recent years (since 2012) doubling that rate at 2044 ha yr−1""",mean annual forest loss,2044,not reported,not reported,Original to this study,"""Not reported""","""high-resolution remote sensing approach, with timeseries Landsat satellite data""",Observation,Association,"""Tambopata National Reserve buffer zone""",Region,"""1999–2016""","""Tambopata buffer zone""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Discussion,"""informal gold mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""all forest species and the organic soil horizons underlying them""","Forest species and organic soil horizons",Outcome,Environmental,"""Informal gold mining removes all forest species and the organic soil horizons underlying them""",Yes,V1→V2,Negative,"""Not reported""",Unconditional,"""Not reported""",Asserted,"""Not reported""","""Not reported""",narrative only,"""all""",not reported,not reported,Cited from prior work,"""(Malm 1998, Swenson et al 2011)""","""Not reported""",Review,Association,"""Madre de Dios""",Region,"""Not reported""","""Tropical forest ecosystems""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Discussion,"""mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""waters polluted by mercury-laden sediment""","Mercury-laden water and sediment pollution",Outcome,Environmental,"""it leads to waters polluted by mercury-laden sediment, both within mining sites and suspended in rivers downstream""",Yes,V1→V2,Positive,"""both within mining sites and suspended in rivers downstream""",Spatial,"""leads to""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,not reported,not reported,Cited from prior work,"""(Limbong et al 2003)""","""Not reported""",Review,Association,"""Madre de Dios; mining sites and downstream rivers""",Region,"""Not reported""","""Rivers downstream of mining""",Freshwater ecosystem
10.1088/1748-9326/aa7dab,Discussion,"""Mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""the region, its protected areas, and thousands of species including humans""","Regional ecosystems and human populations",Outcome,Environmental,"""Mining thus represents a direct and ecologically extreme threat to the region, its protected areas, and thousands of species including humans""",Yes,V1→V2,Negative,"""Not reported""",Unconditional,"""represents a direct and ecologically extreme threat""",Asserted,"""Not reported""","""Not reported""",narrative only,"""extreme""",not reported,not reported,Original to this study,"""Not reported""","""Not reported""",Review,Association,"""Madre de Dios""",Region,"""Not reported""","""Madre de Dios biota and humans""",Mixed
10.1088/1748-9326/aa7dab,Discussion,"""government legal decrees and police actions""","Anti-mining legal decrees and enforcement",Intervention,Governance,"""mining extent""","Cumulative mined area",Outcome,Environmental,"""the geographic extent of informal gold mining has continued to increase in Madre de Dios since 1999, and it has done so at an increasing rate, despite numerous government legal decrees and police actions""",No,V1→V2,Indeterminate,"""since 1999""",Temporal,"""Not reported""",Asserted,"""Paper claims intervention failed to suppress mining; mining increased despite intervention""","""overall increase in mining extent of 40% since 2012""",% change,40,not reported,not reported,Original to this study,"""Not reported""","""high-resolution remote sensing approach, with timeseries Landsat satellite data""",Observation,Association,"""Madre de Dios""",Region,"""1999–2016""","""Madre de Dios region""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Discussion,"""interdictions""","Anti-mining interdictions and enforcement",Intervention,Governance,"""miners in the buffer zone""","Active miners in buffer zone",Outcome,Social,"""the interdictions that are said to have eradicated 90% of miners in the buffer zone in 2012–2013""",Yes,V1→V2,Negative,"""in the buffer zone in 2012–2013""",Temporal,"""said to have""",Possible,"""Authors hedge with 'said to have'; eradication was temporary as miners returned""","""eradicated 90% of miners""",% change,90,not reported,not reported,Cited from prior work,"""Not reported""","""Not reported""",Review,Association,"""Tambopata buffer zone""",Region,"""2012–2013""","""Buffer zone miners""",Human
10.1088/1748-9326/aa7dab,Discussion,"""police action""","Anti-mining interdictions and enforcement",Intervention,Governance,"""miners""","Miner mobility and return",Outcome,Social,"""a fast recovery of capacity by the miners to return to or look for new mining areas including the Tambopata Reserve was observed on the ground""",Yes,V1→V2,Non-linear,"""following police action""",Temporal,"""Not reported""",Asserted,"""Suppression effect was reversed by miner return""","""Not reported""",narrative only,"""fast recovery""",not reported,not reported,Original to this study,"""Not reported""","""observed on the ground""",Observation,Association,"""Tambopata Reserve and surrounding areas""",Region,"""2014""","""Madre de Dios miners""",Human
10.1088/1748-9326/aa7dab,Discussion,"""reported gold market prices""","Gold market price",Exposure,Economic,"""mining rates""","Annual gold mining rate",Outcome,Environmental,"""reported gold market prices are correlated with mining rates on interannual timescales (R2 =0.43; p < 0.05)""",Yes,Non-directional,Positive,"""on interannual timescales""",Temporal,"""correlated with""",Asserted,"""Authors note difficulty in assessing causality given limited timeseries""","""R2 =0.43; p < 0.05""",R-squared,0.43,p-value,"""<0.05""",Original to this study,"""Not reported""","""correlation analysis on interannual timescales""",Statistical modelling,Association,"""Tambopata National Reserve / Madre de Dios""",Region,"""1999–2016""","""Madre de Dios mining sector""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Discussion,"""mercury, potassium cyanide and sodium cyanide""","Mining chemical inputs",Exposure,Environmental,"""human health and the environment""","Human health and environment",Outcome,Social,"""mercury, potassium cyanide and sodium cyanide that damages human health and the environment""",Yes,V1→V2,Negative,"""Not reported""",Unconditional,"""damages""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,not reported,not reported,Cited from prior work,"""(Peru 2012d, Peru 2012e)""","""Not reported""",Review,Association,"""Peru""",Country,"""Not reported""","""Human populations and ecosystems""",Mixed
10.1088/1748-9326/aa7dab,Discussion,"""previously mined landscapes""","Post-mining landscapes",Context,Environmental,"""large-scale restoration successes""","Restoration outcomes",Outcome,Environmental,"""There are also no known examples of large-scale restoration successes on previously mined landscapes""",No,V1→V2,Indeterminate,"""previously mined landscapes""",Spatial,"""no known examples""",Asserted,"""Paper explicitly states absence of evidence for successful restoration""","""Not reported""",narrative only,"""no known examples""",not reported,not reported,Cited from prior work,"""(Román-Dañobeytia et al 2015)""","""Not reported""",Review,Association,"""Peruvian Amazon""",Region,"""Not reported""","""Post-mining tropical forest landscapes""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Discussion,"""gold mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""composition of the forest down to the mineral soil""","Forest composition and soil integrity",Outcome,Environmental,"""mining presents a worse case ecological scenario that fully removes the composition of the forest down to the mineral soil""",Yes,V1→V2,Negative,"""Not reported""",Unconditional,"""Not reported""",Asserted,"""Comparative claim against cattle ranching""","""Not reported""",narrative only,"""worse case ecological scenario""",not reported,not reported,Original to this study,"""Not reported""","""Not reported""",Review,Association,"""Madre de Dios""",Region,"""Not reported""","""Tropical forest ecosystems""",Terrestrial ecosystem
10.1088/1748-9326/aa7dab,Discussion,"""mining sites""","Gold mining sites",Exposure,Environmental,"""ecosystems downstream and downriver""","Downstream/downriver ecosystems",Outcome,Environmental,"""pollutes ecosystems downstream and downriver from mining sites""",Yes,V1→V2,Negative,"""downstream and downriver from mining sites""",Spatial,"""Not reported""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,not reported,not reported,Original to this study,"""Not reported""","""Not reported""",Review,Association,"""Madre de Dios""",Region,"""Not reported""","""Downstream river ecosystems""",Freshwater ecosystem
10.1088/1748-9326/aa7dab,Discussion,"""gold mining""","Artisanal and small-scale gold mining",Intervention,Economic,"""tropical forested regions""","Tropical forest area",Outcome,Environmental,"""gold mining in tropical forested regions continues to rise globally, in similar patterns and with similar consequences as observed in Madre de Dios""",Yes,V1→V2,Negative,"""globally, in similar patterns""",Spatial,"""Not reported""",Asserted,"""Not reported""","""Not reported""",narrative only,not reported,not reported,not reported,Cited from prior work,"""(Alvarez-Berríos and Aide 2015)""","""Not reported""",Review,Association,"""Global tropics""",Global,"""Not reported""","""Tropical forests globally""",Terrestrial ecosystem
